name
Alaaddin Erkek Öğrenci Yurdu Konya
Atatürk Kız Öğrenci Yurdu Konya
Hatice Hatun Kız Öğrenci Yurdu Konya
Cemil Meriç Erkek Öğrenci Yurdu Konya
Mevlana Erkek Öğrenci Yurdu Konya
Hacıveyiszade Erkek Öğrenci Yurdu Konya
Selçuklu Kız Öğrenci Yurdu Konya
Karatay Kız Öğrenci Yurdu Konya
Meram Kız Öğrenci Yurdu Konya
Beyhekim Erkek Öğrenci Yurdu Konya
Bosna Hersek Kız Öğrenci Yurdu Konya
Bosna Hersek Erkek Öğrenci Yurdu Konya
Ardıçlı Erkek Öğrenci Yurdu Konya
Ardıçlı Kız Öğrenci Yurdu Konya
Yazır Kız Öğrenci Yurdu Konya
Yazır Erkek Öğrenci Yurdu Konya
Sille Kız Öğrenci Yurdu Konya
Sille Erkek Öğrenci Yurdu Konya
Saraçoğlu Erkek Öğrenci Yurdu Konya
Saraçoğlu Kız Öğrenci Yurdu Konya
